YR MO DY HRMN SEC LATITUDE LONGITUDE DEPTH MAG FAMILY
1998 10 27 0108 40.76 34.3221 -116.84357 6.345 4.82 1630
1998 10 27 0142 32.44 34.32079 -116.84211 5.963 3.11 1630
1998 10 27 0426 25.42 34.32095 -116.84468 7.673 2.57 1630
1998 10 27 0716 6.99 34.32418 -116.84565 5.88 3.64 1630
1998 10 27 1022 50.65 34.32517 -116.84933 6.558 2.84 1630
1998 10 27 1540 17.21 34.32145 -116.84619 5.377 4.09 1630
1998 10 27 1618 0.57 34.31324 -116.83399 5.704 2.51 1630
1998 10 28 0724 15.78 31.9026 -115.83772 6.689 2.69 1629
1998 10 29 0006 13.5 34.31471 -116.83902 6.459 3.04 1630
1998 10 29 2049 45.6 34.31917 -116.84766 5.454 3.35 1630
1998 10 29 2055 19.51 34.31847 -116.84779 5.421 2.56 1630
1998 10 30 1126 17.04 32.06848 -115.41952 12.255 2.61 1626
1998 10 30 1433 59.99 32.34609 -115.1569 4.278 2.64 NaN
1998 10 30 2200 29.06 34.33119 -116.83945 6.826 2.9 1630
1998 10 31 0118 47.49 34.31422 -116.83837 6.234 2.86 1630
1998 10 31 0319 38.69 32.381 -118.593 4.04 2.52 NaN
1998 10 31 1450 9.83 34.32175 -116.84575 5.745 2.78 1630
1998 11 1 0928 52.69 34.32116 -116.84336 7.795 3.08 1630
1998 11 1 1515 12.05 32.49275 -115.45986 13.868 2.69 NaN
1998 11 2 1016 6.43 31.92463 -115.80601 3.754 3.97 1587
1998 11 2 1303 44.94 34.31609 -116.83992 6.22 2.67 1630
1998 11 2 1551 51.31 33.18101 -115.60558 3.36 2.59 1631
1998 11 2 1553 36.15 33.17574 -115.5979 3.622 3.87 1631
1998 11 3 0521 3.31 32.07317 -115.42274 7.455 2.54 1626
1998 11 3 1151 35.89 33.16461 -115.62135 2.303 2.58 1631
1998 11 3 1848 4.45 34.32222 -116.8454 6.126 2.54 1630
1998 11 4 0721 37.94 34.31559 -116.83962 6.304 3.11 1630
1998 11 5 0411 36.27 33.94146 -116.94199 6.386 3.01 NaN
1998 11 6 1117 11.58 32.0775 -116.1345 12.71 2.57 NaN
1998 11 6 1715 2.91 31.54367 -114.63283 9.37 3.08 NaN
1998 11 6 2354 3.08 35.30164 -118.60253 6.679 2.61 NaN
1998 11 8 0907 43.75 35.91976 -120.48794 8.73 3.05 NaN
1998 11 8 1500 43.06 37.52967 -118.8775 2.25 2.83 1632
1998 11 8 1641 15.39 37.49333 -118.8795 3.88 2.72 1632
